Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,22.032,ARI,,DET,T 27-27,*,29,54,53.70,308,2,1,75.2,5,33,5.70,5.61,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,88,100%,0,0%,0,0%,
2,2019,2019-09-15,2,2,22.039,ARI,@,BAL,L 17-23,*,25,40,62.50,349,0,0,90.5,3,20,8.73,8.73,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-5,0,57,100%,0,0%,0,0%,
3,2019,2019-09-22,3,3,22.046,ARI,,CAR,L 20-38,*,30,43,69.77,173,2,2,73.1,8,46,4.02,2.86,8,69,8.63,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
4,2019,2019-09-29,4,4,22.053,ARI,,SEA,L 10-27,*,22,32,68.75,241,0,1,77.7,4,35,7.53,6.13,4,27,6.75,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,63,100%,0,0%,0,0%,
5,2019,2019-10-06,5,5,22.060,ARI,@,CIN,W 26-23,*,20,32,62.50,253,0,0,87.1,1,5,7.91,7.91,10,93,9.30,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,75,100%,0,0%,0,0%,
6,2019,2019-10-13,6,6,22.067,ARI,,ATL,W 34-33,*,27,37,72.97,340,3,0,128.2,0,0,9.19,10.81,11,32,2.91,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
7,2019,2019-10-20,7,7,22.074,ARI,@,NYG,W 27-21,*,14,21,66.67,104,0,0,78.3,2,15,4.95,4.95,10,28,2.80,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
8,2019,2019-10-27,8,8,22.081,ARI,@,NOR,L 9-31,*,19,33,57.58,220,0,0,77.8,3,19,6.67,6.67,2,13,6.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,46,94%,0,0%,0,0%,
9,2019,2019-10-31,9,9,22.085,ARI,,SFO,L 25-28,*,17,24,70.83,241,2,0,130.7,3,37,10.04,11.71,5,34,6.80,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,
10,2019,2019-11-10,10,10,22.095,ARI,@,TAM,L 27-30,*,27,44,61.36,324,3,1,97.2,2,8,7.36,7.70,3,38,12.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
11,2019,2019-11-17,11,11,22.102,ARI,@,SFO,L 26-36,*,24,33,72.73,150,2,0,101.8,4,19,4.55,5.76,8,67,8.38,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,67,100%,0,0%,0,0%,
12,2019,2019-12-01,12,13,22.116,ARI,,LAR,L 7-34,*,19,34,55.88,163,0,1,56.4,6,39,4.79,3.47,4,28,7.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,63,100%,0,0%,0,0%,
13,2019,2019-12-08,13,14,22.123,ARI,,PIT,L 17-23,*,20,30,66.67,194,2,3,67.2,5,29,6.47,3.30,6,2,0.33,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,58,100%,0,0%,0,0%,
14,2019,2019-12-15,14,15,22.130,ARI,,CLE,W 38-24,*,19,25,76.00,219,1,1,98.6,0,0,8.76,7.76,8,56,7.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
15,2019,2019-12-22,15,16,22.137,ARI,@,SEA,W 27-13,*,11,18,61.11,118,1,0,98.8,1,1,6.56,7.67,6,40,6.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,37,54%,0,0%,0,0%,
